Player,Team,SleeperADP
Bijan Robinson,ATL,1.4
Jahmyr Gibbs,DET,2.9
Ja'Marr Chase,CIN,3.4
Puka Nacua,LAR,4.9
Jaxon Smith-Njigba,SEA,5.4
Christian McCaffrey,SF,6.7
Jonathan Taylor,IND,7.7
James Cook,BUF,9.7
CeeDee Lamb,DAL,10.6
Amon-Ra St. Brown,DET,11.2
Justin Jefferson,MIN,12.4
Drake London,ATL,14.1
Kenneth Walker III,KC,14.6
Ashton Jeanty,LV,15.4
De'Von Achane,MIA,16.2
Trey McBride,ARI,18.7
Omarion Hampton,LAC,18.8
Malik Nabers,NYG,19.2
Saquon Barkley,PHI,19.5
Jeremiyah Love,ARI,19.7
Nico Collins,HOU,21.1
Chase Brown,CIN,22.2
George Pickens,DAL,23.1
Chris Olave,NO,26.4
Brock Bowers,LV,26.4
Josh Jacobs,GB,27.6
Josh Allen,BUF,28.2
A.J. Brown,NE,30.8
Bucky Irving,TB,31.6
Rashee Rice,KC,32.7
Derrick Henry,BAL,34.5
Tee Higgins,CIN,35.5
Tetairoa McMillan,CAR,37.3
Lamar Jackson,BAL,37.9
Breece Hall,NYJ,38.3
Kyren Williams,LAR,39.1
Garrett Wilson,NYJ,40.9
Luther Burden III,CHI,41.1
Travis Etienne Jr.,NO,43.7
Javonte Williams,DAL,45.8
Jaylen Waddle,DEN,46.2
Drake Maye,NE,46.2
Davante Adams,LAR,46.9
Ladd McConkey,LAC,47.8
Colston Loveland,CHI,47.9
Zay Flowers,BAL,49.1
Jameson Williams,DET,51.6
TreVeyon Henderson,NE,54.7
DeVonta Smith,PHI,55.9
Emeka Egbuka,TB,56.1
Terry McLaurin,WSH,56.6
Joe Burrow,CIN,57.1
Tyler Warren,IND,57.4
RJ Harvey,DEN,57.6
DJ Moore,BUF,59.3
Cam Skattebo,NYG,59.4
Jayden Daniels,WSH,62.1
Mike Evans,SF,62.8
D'Andre Swift,CHI,65.1
Jalen Hurts,PHI,67.2
Quinshon Judkins,CLE,67.8
Harold Fannin Jr.,CLE,67.9
Christian Watson,GB,68.4
David Montgomery,HOU,73.9
Jaylen Warren,PIT,74.8
Rome Odunze,CHI,75.4
Jordyn Tyson,NO,75.9
Tucker Kraft,GB,76.5
Courtland Sutton,DEN,77.9
Kyle Pitts Sr.,ATL,78.6
DK Metcalf,PIT,80.4
Jaxson Dart,NYG,80.6
Rhamondre Stevenson,NE,82.7
Justin Herbert,LAC,83.7
Michael Wilson,ARI,85.8
Makai Lemon,PHI,87.3
Jakobi Meyers,JAX,87.6
Brian Thomas Jr.,JAX,88.5
Caleb Williams,CHI,88.8
Kyle Monangai,CHI,89.5
Sam LaPorta,DET,90.7
Marvin Harrison Jr.,ARI,91.9
Trevor Lawrence,JAX,92.3
Tony Pollard,TEN,93.9
Rico Dowdle,PIT,94.3
Dak Prescott,DAL,95.9
Chuba Hubbard,CAR,97.5
Blake Corum,LAR,98.3
Ricky Pearsall,SF,99.8
Patrick Mahomes,KC,100.1
Alec Pierce,IND,100.4
Chris Godwin,TB,103.2
Brock Purdy,SF,103.5
Parker Washington,JAX,104.5
Hunter Henry,NE,106.2
Dallas Goedert,PHI,109.1
J.K. Dobbins,DEN,109.6
Mark Andrews,BAL,110.7
Jake Ferguson,DAL,110.8
Jordan Addison,MIN,111.9
George Kittle,SF,112.4
Brian Robinson Jr.,ATL,113.1
Brenton Strange,JAX,115.1
Matthew Stafford,LAR,115.2
Wan'Dale Robinson,TEN,115.3
Travis Kelce,KC,116.2
Michael Pittman Jr.,PIT,117.2
Bo Nix,DEN,118.7
Quentin Johnston,LAC,119.6
Aaron Jones Sr.,MIN,122.3
Jordan Love,GB,124.8
Stefon Diggs,NE,125.9
James Conner,ARI,128.6
Jared Goff,DET,129.6
Khalil Shakir,BUF,133.8
Xavier Worthy,KC,134.9
Jauan Jennings,MIN,135.6
Baker Mayfield,TB,140.9
T.J. Hockenson,MIN,141.2
David Njoku,LAC,143.5
Tyler Shough,NO,144.4
Tyrone Tracy Jr.,NYG,145.3
Josh Downs,IND,147.6
Kyler Murray,MIN,151.7
Alvin Kamara,NO,157.7
Tyreek Hill,MIA,161.9
C.J. Stroud,HOU,163.4
Deebo Samuel,WSH,164.3
Sam Darnold,SEA,165.3
Travis Hunter,JAX,169.3
Jerry Jeudy,CLE,173.5
Braelon Allen,NYJ,174.1
Adonai Mitchell,NYJ,177.9
Jalen McMillan,TB,180.2
Jonathon Brooks,CAR,183.6
Troy Franklin,DEN,184.7
Tank Bigsby,PHI,187.7
Cameron Ward,TEN,188.4
Keaton Mitchell,LAC,189.4
Brandon Aiyuk,SF,190.2
Isiah Pacheco,DET,191.1
Sean Tucker,TB,192.8
Bryce Young,CAR,194.2
Tre Harris,LAC,194.5
Daniel Jones,IND,195.1
Calvin Ridley,TEN,195.5
Tre Tucker,LV,207.2
Jaylin Noel,HOU,213.7
Jaylen Wright,MIA,215.1
Kaleb Johnson,PIT,217.5
Marvin Mims Jr.,DEN,219.5
J.J. McCarthy,MIN,224.2
Shedeur Sanders,CLE,225.8
Michael Penix Jr.,ATL,227.9
Keon Coleman,BUF,234.8
Cooper Kupp,SEA,235.2
Tua Tagovailoa,ATL,236.5
Devaughn Vele,NO,239.8
Christian Kirk,SF,241.7
Justice Hill,BAL,261.9
Geno Smith,NYJ,310.5
Aaron Rodgers,PIT,312.6
Justin Fields,KC,393.6
Cole Kmet,CHI,398.3
Anthony Richardson Sr.,IND,408.9
